R,C,RC,defasagem ,in_vpp,out_vpp,freq
4700,2.20E-07,0.001034,15.8,4.08,3.92,40
4700,2.20E-07,0.001034,42.8,4.04,2.96,140
4700,2.20E-07,0.001034,75.5,4,0.64,1000
10000,2.20E-07,0.0022,28.8,4.04,3.48,40
10000,2.20E-07,0.0022,62.4,4.08,1.84,140
10000,2.20E-07,0.0022,80.6,4.04,0.32,1000
10000,4.70E-07,0.0047,48.9,4.04,1.36,40
10000,4.70E-07,0.0047,73.6,4.04,1.04,140
10000,4.70E-07,0.0047,90,4.04,0.2,1000
10000,4.70E-08,0.00047,8.65,4.04,4,40
10000,4.70E-08,0.00047,22.2,4.04,3.72,140
10000,4.70E-08,0.00047,68.4,4.04,1.32,1000
15000,2.20E-07,0.0033,39.7,4.04,3.08,40
15000,2.20E-07,0.0033,67.1,4.04,1.32,140
15000,2.20E-07,0.0033,79.9,4.04,0.28,1000
