Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.05,0.04,-0.14400000000000002,0.18400000000000002
-0.049960000000000004,-0.02,-0.14,0.12000000000000001
-0.049920000000000006,-0.02,-0.14400000000000002,0.12400000000000001
-0.04988,-0.04,-0.14200000000000002,0.10200000000000001
-0.04984,-0.08,-0.14200000000000002,0.06200000000000001
-0.049800000000000004,-0.1,-0.14400000000000002,0.04400000000000001
-0.049760000000000006,-0.14,-0.14200000000000002,0.0020000000000000018
-0.04972,-0.16,-0.14200000000000002,-0.017999999999999988
-0.04968,-0.18,-0.14400000000000002,-0.035999999999999976
-0.049640000000000004,-0.2,-0.14200000000000002,-0.057999999999999996
-0.049600000000000005,-0.22,-0.146,-0.07400000000000001
-0.04956,-0.26,-0.14400000000000002,-0.11599999999999999
-0.04952,-0.28,-0.14,-0.14
-0.04948,-0.32,-0.14,-0.18
-0.049440000000000005,-0.32,-0.14400000000000002,-0.176
-0.0494,-0.36,-0.14,-0.21999999999999997
-0.04936,-0.36,-0.14200000000000002,-0.21799999999999997
-0.04932,-0.4,-0.14,-0.26
-0.049280000000000004,-0.42,-0.14,-0.27999999999999997
-0.049240000000000006,-0.46,-0.136,-0.324
-0.0492,-0.46,-0.138,-0.322
-0.04916,-0.5,-0.138,-0.362
-0.049120000000000004,-0.52,-0.138,-0.382
-0.049080000000000006,-0.56,-0.138,-0.42200000000000004
-0.04904,-0.56,-0.138,-0.42200000000000004
-0.049,-0.58,-0.136,-0.44399999999999995
-0.048960000000000004,-0.62,-0.14,-0.48
-0.048920000000000005,-0.64,-0.134,-0.506
-0.04888,-0.66,-0.136,-0.524
-0.04884,-0.7000000000000001,-0.134,-0.5660000000000001
-0.0488,-0.72,-0.136,-0.584
-0.048760000000000005,-0.72,-0.134,-0.586
-0.04872,-0.76,-0.134,-0.626
-0.04868,-0.78,-0.13,-0.65
-0.04864,-0.8,-0.134,-0.666
-0.048600000000000004,-0.8200000000000001,-0.132,-0.6880000000000001
-0.048560000000000006,-0.86,-0.13,-0.73
-0.04852,-0.86,-0.132,-0.728
-0.04848,-0.9,-0.128,-0.772
-0.048440000000000004,-0.9400000000000001,-0.128,-0.812
-0.048400000000000006,-0.9400000000000001,-0.128,-0.812
-0.04836,-0.9400000000000001,-0.128,-0.812
-0.04832,-0.98,-0.126,-0.854
-0.04828,-0.98,-0.124,-0.856
-0.048240000000000005,-1.02,-0.122,-0.898
-0.0482,-1.02,-0.124,-0.896
-0.04816,-1.06,-0.122,-0.9380000000000001
-0.04812,-1.08,-0.12,-0.9600000000000001
-0.048080000000000005,-1.1,-0.12,-0.9800000000000001
-0.04804,-1.12,-0.11800000000000001,-1.002
-0.048,-1.1400000000000001,-0.116,-1.024
-0.04796,-1.1400000000000001,-0.116,-1.024
-0.047920000000000004,-1.16,-0.114,-1.0459999999999998
-0.047880000000000006,-1.18,-0.12,-1.06
-0.04784,-1.2,-0.112,-1.0879999999999999
-0.0478,-1.24,-0.112,-1.128
-0.047760000000000004,-1.26,-0.11,-1.15
-0.047720000000000005,-1.26,-0.114,-1.146
-0.04768,-1.28,-0.112,-1.168
-0.04764,-1.32,-0.11,-1.21
-0.0476,-1.32,-0.108,-1.212
-0.047560000000000005,-1.34,-0.106,-1.234
-0.04752,-1.36,-0.108,-1.252
-0.04748,-1.3800000000000001,-0.10400000000000001,-1.276
-0.04744,-1.3800000000000001,-0.10200000000000001,-1.278
-0.047400000000000005,-1.42,-0.1,-1.3199999999999998
-0.04736,-1.42,-0.098,-1.3219999999999998
-0.04732,-1.42,-0.1,-1.3199999999999998
-0.04728,-1.46,-0.098,-1.3619999999999999
-0.047240000000000004,-1.48,-0.094,-1.386
-0.047200000000000006,-1.5,-0.094,-1.406
-0.04716,-1.5,-0.096,-1.404
-0.04712,-1.52,-0.094,-1.426
-0.047080000000000004,-1.54,-0.09,-1.45
-0.047040000000000005,-1.54,-0.09,-1.45
-0.047,-1.54,-0.088,-1.452
-0.04696,-1.58,-0.084,-1.496
-0.04692,-1.58,-0.084,-1.496
-0.046880000000000005,-1.6,-0.08,-1.52
-0.04684,-1.62,-0.082,-1.538
-0.0468,-1.62,-0.078,-1.542
-0.04676,-1.6400000000000001,-0.078,-1.562
-0.046720000000000005,-1.6600000000000001,-0.078,-1.582
-0.04668,-1.6400000000000001,-0.076,-1.564
-0.04664,-1.68,-0.074,-1.6059999999999999
-0.0466,-1.68,-0.07200000000000001,-1.6079999999999999
-0.046560000000000004,-1.7,-0.07,-1.63
-0.046520000000000006,-1.72,-0.07,-1.65
-0.04648,-1.7,-0.066,-1.634
-0.04644,-1.72,-0.066,-1.654
-0.046400000000000004,-1.72,-0.064,-1.656
-0.046360000000000005,-1.74,-0.062,-1.678
-0.04632,-1.76,-0.062,-1.698
-0.04628,-1.78,-0.06,-1.72
-0.04624,-1.76,-0.056,-1.704
-0.046200000000000005,-1.78,-0.056,-1.724
-0.04616,-1.78,-0.056,-1.724
-0.04612,-1.8,-0.054,-1.746
-0.04608,-1.78,-0.05,-1.73
-0.046040000000000005,-1.82,-0.05,-1.77
-0.046,-1.82,-0.048,-1.772
-0.04596,-1.82,-0.044,-1.776
-0.04592,-1.84,-0.042,-1.798
-0.045880000000000004,-1.82,-0.04,-1.78
-0.045840000000000006,-1.84,-0.04,-1.8
-0.0458,-1.84,-0.038,-1.802
-0.04576,-1.86,-0.038,-1.822
-0.045720000000000004,-1.86,-0.036000000000000004,-1.824
-0.045680000000000005,-1.86,-0.034,-1.826
-0.04564,-1.86,-0.034,-1.826
-0.0456,-1.86,-0.032,-1.828
-0.04556,-1.8800000000000001,-0.03,-1.85
-0.045520000000000005,-1.86,-0.026000000000000002,-1.834
-0.04548,-1.86,-0.026000000000000002,-1.834
