Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0125,0.88,-0.09,0.97
-0.012490000000000001,0.92,-0.09,1.01
-0.012480000000000002,0.88,-0.092,0.972
-0.01247,0.92,-0.092,1.012
-0.01246,0.88,-0.092,0.972
-0.012450000000000001,0.88,-0.094,0.974
-0.012440000000000001,0.88,-0.09,0.97
-0.01243,0.88,-0.09,0.97
-0.01242,0.88,-0.09,0.97
-0.012410000000000001,0.88,-0.09,0.97
-0.012400000000000001,0.84,-0.09,0.9299999999999999
-0.01239,0.84,-0.09,0.9299999999999999
-0.01238,0.84,-0.094,0.9339999999999999
-0.01237,0.84,-0.09,0.9299999999999999
-0.012360000000000001,0.84,-0.092,0.9319999999999999
-0.01235,0.84,-0.092,0.9319999999999999
-0.01234,0.84,-0.09,0.9299999999999999
-0.01233,0.84,-0.092,0.9319999999999999
-0.012320000000000001,0.84,-0.092,0.9319999999999999
-0.012310000000000001,0.84,-0.09,0.9299999999999999
-0.0123,0.84,-0.092,0.9319999999999999
-0.01229,0.8,-0.09,0.89
-0.012280000000000001,0.8,-0.092,0.892
-0.012270000000000001,0.8,-0.088,0.888
-0.01226,0.8,-0.09,0.89
-0.01225,0.8,-0.092,0.892
-0.012240000000000001,0.76,-0.09,0.85
-0.012230000000000001,0.76,-0.092,0.852
-0.01222,0.8,-0.09,0.89
-0.01221,0.8,-0.092,0.892
-0.0122,0.76,-0.094,0.854
-0.012190000000000001,0.76,-0.094,0.854
-0.01218,0.76,-0.092,0.852
-0.01217,0.76,-0.094,0.854
-0.01216,0.76,-0.09,0.85
-0.012150000000000001,0.76,-0.092,0.852
-0.012140000000000001,0.76,-0.092,0.852
-0.01213,0.76,-0.09,0.85
-0.01212,0.76,-0.094,0.854
-0.012110000000000001,0.72,-0.092,0.8119999999999999
-0.012100000000000001,0.72,-0.092,0.8119999999999999
-0.01209,0.76,-0.092,0.852
-0.01208,0.76,-0.092,0.852
-0.01207,0.72,-0.094,0.814
-0.012060000000000001,0.72,-0.092,0.8119999999999999
-0.01205,0.72,-0.094,0.814
-0.01204,0.72,-0.09,0.8099999999999999
-0.01203,0.72,-0.09,0.8099999999999999
-0.012020000000000001,0.68,-0.094,0.774
-0.01201,0.68,-0.094,0.774
-0.012,0.68,-0.094,0.774
-0.01199,0.68,-0.092,0.772
-0.011980000000000001,0.68,-0.088,0.768
-0.011970000000000001,0.68,-0.09,0.77
-0.01196,0.68,-0.092,0.772
-0.01195,0.68,-0.094,0.774
-0.011940000000000001,0.68,-0.094,0.774
-0.011930000000000001,0.68,-0.092,0.772
-0.01192,0.68,-0.092,0.772
-0.01191,0.64,-0.094,0.734
-0.0119,0.68,-0.088,0.768
-0.011890000000000001,0.64,-0.094,0.734
-0.01188,0.64,-0.09,0.73
-0.01187,0.64,-0.092,0.732
-0.01186,0.64,-0.092,0.732
-0.011850000000000001,0.64,-0.09,0.73
-0.01184,0.64,-0.092,0.732
