Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.125,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1249,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1248,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1247,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1246,-1.6400000000000001,-1.56,-0.08000000000000007
-0.1245,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1244,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1243,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1242,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1241,-1.6400000000000001,-1.6,-0.040000000000000036
-0.124,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1239,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1238,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1237,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1236,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1235,-1.6,-1.56,-0.040000000000000036
-0.1234,-1.6400000000000001,-1.6,-0.040000000000000036
-0.12329999999999999,-1.6,-1.6,0.0
-0.1232,-1.6,-1.6,0.0
-0.1231,-1.6400000000000001,-1.56,-0.08000000000000007
-0.123,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1229,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1228,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1227,-1.6,-1.6,0.0
-0.1226,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1225,-1.6,-1.6,0.0
-0.1224,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1223,-1.6,-1.6,0.0
-0.1222,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1221,-1.6,-1.6,0.0
-0.122,-1.6,-1.56,-0.040000000000000036
-0.1219,-1.6400000000000001,-1.56,-0.08000000000000007
-0.1218,-1.6,-1.56,-0.040000000000000036
-0.1217,-1.6,-1.6,0.0
-0.1216,-1.6,-1.6,0.0
-0.1215,-1.6,-1.6,0.0
-0.1214,-1.6,-1.6,0.0
-0.1213,-1.6,-1.56,-0.040000000000000036
-0.1212,-1.6400000000000001,-1.6,-0.040000000000000036
-0.1211,-1.6,-1.56,-0.040000000000000036
-0.121,-1.6,-1.56,-0.040000000000000036
-0.1209,-1.6,-1.6,0.0
-0.1208,-1.6,-1.56,-0.040000000000000036
-0.1207,-1.6,-1.56,-0.040000000000000036
-0.1206,-1.6,-1.56,-0.040000000000000036
-0.1205,-1.56,-1.56,0.0
-0.12040000000000001,-1.56,-1.56,0.0
-0.1203,-1.6,-1.56,-0.040000000000000036
-0.1202,-1.56,-1.56,0.0
-0.1201,-1.56,-1.56,0.0
-0.12,-1.56,-1.56,0.0
-0.1199,-1.56,-1.56,0.0
-0.1198,-1.56,-1.56,0.0
-0.1197,-1.56,-1.56,0.0
-0.1196,-1.56,-1.56,0.0
-0.1195,-1.56,-1.56,0.0
-0.1194,-1.56,-1.56,0.0
-0.1193,-1.56,-1.52,-0.040000000000000036
-0.1192,-1.56,-1.52,-0.040000000000000036
-0.1191,-1.56,-1.52,-0.040000000000000036
