Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00025,-1.8,0.094,-1.8940000000000001
-0.0002498,-1.76,0.092,-1.852
-0.0002496,-1.74,0.092,-1.832
-0.0002494,-1.78,0.09,-1.87
-0.0002492,-1.74,0.08600000000000001,-1.826
-0.000249,-1.7,0.088,-1.788
-0.00024880000000000003,-1.68,0.08600000000000001,-1.766
-0.0002486,-1.68,0.082,-1.762
-0.0002484,-1.6400000000000001,0.082,-1.7220000000000002
-0.0002482,-1.58,0.08,-1.6600000000000001
-0.000248,-1.6,0.078,-1.6780000000000002
-0.0002478,-1.58,0.078,-1.6580000000000001
-0.0002476,-1.58,0.078,-1.6580000000000001
-0.0002474,-1.52,0.074,-1.594
-0.0002472,-1.52,0.074,-1.594
-0.000247,-1.5,0.07200000000000001,-1.572
-0.0002468,-1.5,0.07,-1.57
-0.00024660000000000003,-1.48,0.07,-1.55
-0.0002464,-1.44,0.068,-1.508
-0.0002462,-1.42,0.066,-1.486
-0.000246,-1.3800000000000001,0.066,-1.4460000000000002
-0.0002458,-1.4000000000000001,0.064,-1.4640000000000002
-0.0002456,-1.36,0.062,-1.4220000000000002
-0.0002454,-1.36,0.06,-1.4200000000000002
-0.0002452,-1.34,0.058,-1.3980000000000001
-0.000245,-1.34,0.06,-1.4000000000000001
-0.0002448,-1.28,0.058,-1.338
-0.0002446,-1.28,0.058,-1.338
-0.00024440000000000003,-1.26,0.058,-1.318
-0.0002442,-1.24,0.054,-1.294
-0.000244,-1.2,0.052000000000000005,-1.252
-0.00024380000000000002,-1.2,0.054,-1.254
-0.0002436,-1.18,0.05,-1.23
-0.0002434,-1.18,0.05,-1.23
-0.0002432,-1.1,0.05,-1.1500000000000001
-0.000243,-1.12,0.046,-1.1660000000000001
-0.0002428,-1.1,0.046,-1.1460000000000001
-0.00024260000000000002,-1.06,0.046,-1.106
-0.0002424,-1.08,0.046,-1.1260000000000001
-0.0002422,-1.04,0.044,-1.084
-0.000242,-1.0,0.044,-1.044
-0.0002418,-1.0,0.042,-1.042
-0.00024160000000000002,-0.96,0.042,-1.002
-0.0002414,-0.96,0.042,-1.002
-0.0002412,-0.9400000000000001,0.038,-0.9780000000000001
-0.000241,-0.9,0.04,-0.9400000000000001
-0.0002408,-0.9,0.04,-0.9400000000000001
-0.0002406,-0.86,0.038,-0.898
-0.00024040000000000002,-0.86,0.04,-0.9
-0.0002402,-0.86,0.038,-0.898
-0.00024,-0.8,0.036000000000000004,-0.8360000000000001
-0.0002398,-0.78,0.036000000000000004,-0.8160000000000001
-0.0002396,-0.78,0.036000000000000004,-0.8160000000000001
-0.00023940000000000002,-0.78,0.032,-0.812
-0.00023920000000000001,-0.74,0.032,-0.772
-0.000239,-0.72,0.034,-0.754
-0.0002388,-0.72,0.034,-0.754
-0.0002386,-0.68,0.03,-0.7100000000000001
-0.0002384,-0.64,0.03,-0.67
-0.00023820000000000002,-0.66,0.028,-0.6880000000000001
-0.000238,-0.62,0.03,-0.65
-0.0002378,-0.62,0.03,-0.65
-0.0002376,-0.56,0.026000000000000002,-0.5860000000000001
-0.0002374,-0.56,0.026000000000000002,-0.5860000000000001
