Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.0005,2.04,0.504,1.536
-0.0004996,2.04,0.504,1.536
-0.0004992,2.0,0.496,1.504
-0.0004988,2.08,0.512,1.568
-0.0004984,2.08,0.512,1.568
-0.000498,2.08,0.512,1.568
-0.0004976000000000001,2.08,0.512,1.568
-0.0004972,-1.68,0.52,-2.2
-0.0004968,-1.8,0.512,-2.3120000000000003
-0.0004964,-1.8,0.512,-2.3120000000000003
-0.000496,-1.8,0.504,-2.3040000000000003
-0.0004956,-1.76,0.488,-2.248
-0.0004952,-1.8,0.496,-2.2960000000000003
-0.0004948,-1.8,0.488,-2.2880000000000003
-0.0004944,-1.76,0.496,-2.2560000000000002
-0.000494,-1.8,0.48,-2.2800000000000002
-0.0004936,-1.8,0.488,-2.2880000000000003
-0.0004932000000000001,-1.72,0.488,-2.208
-0.0004928,-1.76,0.47200000000000003,-2.232
-0.0004924,-1.72,0.464,-2.184
-0.000492,-1.8,0.464,-2.2640000000000002
-0.0004916,-1.72,0.464,-2.184
-0.0004912,-1.8,0.464,-2.2640000000000002
-0.0004908,-1.8,0.448,-2.248
-0.0004904,-1.76,0.44,-2.2
-0.00049,-1.76,0.44,-2.2
-0.0004896,-1.76,0.44,-2.2
-0.0004892,-1.76,0.432,-2.192
-0.0004888000000000001,-1.8,0.44,-2.24
-0.0004884,-1.76,0.432,-2.192
-0.000488,-1.72,0.424,-2.144
-0.00048760000000000003,-1.76,0.424,-2.184
-0.0004872,-1.8,0.432,-2.232
-0.0004868,-1.8,0.40800000000000003,-2.208
-0.0004864,-1.76,0.40800000000000003,-2.168
-0.000486,-1.8,0.40800000000000003,-2.208
-0.0004856,-1.8,0.4,-2.2
-0.00048520000000000003,-1.76,0.392,-2.152
-0.0004848,-1.76,0.4,-2.16
-0.0004844,-1.8,0.384,-2.184
-0.000484,-1.76,0.384,-2.144
-0.0004836,-1.8,0.392,-2.192
-0.00048320000000000004,-1.76,0.376,-2.136
-0.0004828,-1.76,0.376,-2.136
-0.0004824,-1.8,0.368,-2.168
-0.000482,-1.84,0.368,-2.208
-0.0004816,-1.76,0.36,-2.12
-0.0004812,-1.76,0.352,-2.112
-0.00048080000000000003,-1.76,0.36,-2.12
-0.0004804,-1.8,0.352,-2.152
-0.00048,-1.76,0.34400000000000003,-2.104
-0.0004796,-1.76,0.34400000000000003,-2.104
-0.0004792,-1.76,0.352,-2.112
-0.00047880000000000004,-1.84,0.34400000000000003,-2.184
-0.00047840000000000003,-1.8,0.336,-2.136
-0.000478,-1.76,0.336,-2.096
-0.0004776,-1.8,0.32,-2.12
-0.0004772,-1.8,0.328,-2.128
-0.0004768,-1.8,0.32,-2.12
