frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
1000.0,4.0088024139,2.1194121838,56.8799972534,0.2795127034656129,-5.535984492457375
1160.129386160163,3.9717991352,2.4039783478,51.1600914001,0.3663418629944174,-4.361134503536357
1345.9001926323565,3.9595761299,2.6924550533,47.0619926453,0.46238052023028947,-3.350004707265792
1561.4183643114195,3.9955201149,2.9989817142,39.1011238098,0.5633794385408879,-2.491990073523449
1811.4473285278127,3.9819984436,3.2685568333,31.3043460846,0.6737672693853926,-1.7149009022425576
2101.5132773064383,3.9951808453,3.4979872704,23.919260025,0.76659073093599,-1.1543643622657747
2438.027308408951,3.9824285507,3.7041089535,15.6292686462,0.8651103735039026,-0.6292848034357955
2828.4271247461907,3.9951424599,3.806681633,7.3303165436,0.9078802594426897,-0.41971426911152065
3281.341424030553,3.9573440552,3.8169324398,-2.3622047901,0.9302963695556715,-0.3137867385652851
3806.7806120424807,3.9701347351,3.7347192764,-11.5068492889,0.8849229022361662,-0.5309456499928767
4416.358054695248,3.9823522568,3.5629265308,-20.3713512421,0.8004503315322397,-0.9666561116591619
5123.54675905709,3.9950656891,3.3539354801,-27.3511295319,0.7047929615951029,-1.5193844165002557
5943.977156547794,4.0073599815,3.0739915371,-35.0593833923,0.5884216198667206,-2.3031137874477765
6895.782569975823,4.0190749168,2.780782938,-40.9655189514,0.4787204464482803,-3.199180231342422
8000.000000000004,4.0319104195,2.4838972092,-47.808013916,0.37952945792753146,-4.207545098373565
