frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
2000.0000000000002,4.0034561157,1.663731575,62.3961639404,0.1727016048096605,-7.627036267826174
2101.5132773064383,3.9661915302,1.8019469976,58.9420661926,0.2064128163402574,-6.8526334050874285
2208.179027347626,3.9788544178,1.9738260508,55.7029342651,0.24609435680396316,-6.088983450009709
2320.2587723203264,3.9174866676,2.175699234,51.7865486145,0.30844850061910944,-5.108173365382697
2438.027308408951,3.881323576,2.3832256794,46.3157920837,0.37702542573947123,-4.236293609718998
2561.7733795285444,3.8696832657,2.5958848,40.7999992371,0.450007748885915,-3.467800078481689
2691.8003852647134,3.8339648247,2.8275201321,33.5395698547,0.5438951216237157,-2.6448483649904544
2828.4271247461907,3.7985727787,3.0276224613,24.4343891144,0.6352761245997596,-1.9703746632288697
2971.9885782738966,3.7626309395,3.206952095,13.2384338379,0.7264432629774752,-1.3879829951877751
3122.836728622842,3.727896452,3.2754161358,3.6000001431,0.7719786454996936,-1.1239471296726449
3281.341424030553,3.7402367592,3.2650880814,-8.0367698669,0.7620642963838572,-1.180083851082891
3447.891284987911,3.7730338573,3.1545791626,-18.8689651489,0.6990390800918926,-1.5549854414869444
3622.8946570556295,3.8090369701,2.951593399,-27.4609527588,0.6004580686466732,-2.21517314974141
3806.7806120424807,3.8441984653,2.7404260635,-36.2195129395,0.5081882000595044,-2.93975423324492
4000.000000000001,3.8789448738,2.4990353584,-42.6581344604,0.4150664079997956,-3.818824133587907
