frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3496611118,0.457845211,83.0769195557,0.018682526595532083,-17.285643908309474
19.306977288832496,3.8134605885,0.9734594822,75.4524383545,0.06516242451856086,-11.860027651332764
37.2759372031494,3.9415183067,1.8053559065,61.2537345886,0.20979665827546712,-6.782014337024371
71.96856730011521,3.9293916225,2.7425262928,42.246219635,0.48713683483117237,-3.123490300277121
138.94954943731375,3.8931217194,3.3992803097,25.4999980927,0.7623914071273098,-1.1782200725197507
268.26957952797244,3.8811433315,3.6365070343,9.2803440094,0.8779089988739044,-0.5655049928200916
517.9474679231213,3.8692014217,3.6695168018,-1.4922279119,0.8994459772794637,-0.46024916225039225
1000.0,3.8808150291,3.6347959042,-13.6663322449,0.8772314088939551,-0.568858269886727
1930.6977288832495,3.9635136127,3.3164982796,-28.0447368622,0.7001624964303841,-1.5480115553834288
3727.593720314938,4.0244927406,2.5795226097,-46.6766014099,0.4108245431805359,-3.863436189952107
7196.856730011514,4.0616445541,1.6454372406,-64.1840438843,0.16411898251679535,-7.848411841783822
13894.95494373136,4.0735163689,0.8961920142,-77.0,0.04840198890122848,-13.151367922588594
26826.957952797275,4.0860524178,0.4358328283,-82.3630523682,0.011377111433178442,-19.439679881931934
51794.74679231202,4.0990991592,0.148387447,-85.590057373,0.0013104410144757538,-28.8258252272518
100000.0,4.1107778549,0.0947810411,80.7611618042,0.0005316121926450348,-32.74405066973597
