Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00041,0.0,0.0008,-0.0008
-0.00040899999999999997,0.0,0.0008,-0.0008
-0.000408,0.0,0.0008,-0.0008
-0.00040699999999999997,0.0,0.0008,-0.0008
-0.000406,0.0,0.0008,-0.0008
-0.000405,0.0,0.0008,-0.0008
-0.000404,0.0,0.0008,-0.0008
-0.000403,0.0,0.0008,-0.0008
-0.000402,0.0,0.0008,-0.0008
-0.000401,0.0,0.0008,-0.0008
-0.00039999999999999996,0.0,0.0008,-0.0008
-0.000399,0.0,0.0008,-0.0008
-0.00039799999999999997,0.0,0.0008,-0.0008
-0.000397,0.0,0.0008,-0.0008
-0.000396,0.0,0.0008,-0.0008
-0.000395,0.0,0.0008,-0.0008
-0.000394,0.0,0.0,0.0
-0.000393,0.0,0.0008,-0.0008
-0.000392,0.0,0.0,0.0
-0.000391,0.0,0.0008,-0.0008
-0.00039,0.0,0.0008,-0.0008
-0.00038899999999999997,0.0,0.0008,-0.0008
-0.000388,0.04,0.0008,0.0392
-0.000387,0.0,0.0008,-0.0008
-0.000386,0.0,0.0008,-0.0008
-0.000385,0.0,0.0008,-0.0008
-0.000384,0.0,0.0008,-0.0008
-0.000383,0.0,0.0,0.0
-0.000382,0.0,0.0008,-0.0008
-0.000381,0.0,0.0008,-0.0008
-0.00038,0.0,0.0,0.0
-0.000379,0.0,0.0008,-0.0008
-0.00037799999999999997,0.0,0.0008,-0.0008
-0.000377,0.0,0.0008,-0.0008
-0.000376,0.04,0.0,0.04
-0.000375,0.0,0.0008,-0.0008
-0.000374,0.0,0.0008,-0.0008
-0.000373,0.0,0.0008,-0.0008
-0.000372,0.0,0.0008,-0.0008
-0.000371,0.0,0.0008,-0.0008
-0.00037,0.0,0.0008,-0.0008
-0.00036899999999999997,0.04,0.0008,0.0392
-0.000368,0.0,0.0,0.0
-0.000367,0.0,0.0,0.0
-0.000366,0.0,0.0008,-0.0008
-0.000365,0.0,0.0008,-0.0008
-0.000364,0.04,0.0,0.04
-0.000363,0.0,0.0008,-0.0008
-0.000362,0.0,0.0008,-0.0008
-0.000361,0.0,0.0008,-0.0008
-0.00035999999999999997,0.0,0.0008,-0.0008
-0.000359,0.0,0.0008,-0.0008
-0.000358,0.0,0.0008,-0.0008
-0.000357,0.0,0.0008,-0.0008
-0.000356,0.0,0.0008,-0.0008
-0.000355,0.0,0.0008,-0.0008
-0.000354,0.0,0.0008,-0.0008
-0.000353,0.0,0.0008,-0.0008
-0.000352,0.0,0.0008,-0.0008
-0.00035099999999999997,0.0,0.0008,-0.0008
-0.00035,0.0,0.0008,-0.0008
-0.00034899999999999997,0.0,0.0008,-0.0008
-0.000348,0.0,0.0,0.0
-0.000347,0.0,0.0,0.0
-0.000346,0.0,0.0008,-0.0008
-0.000345,0.0,0.0008,-0.0008
-0.000344,0.0,0.0008,-0.0008
-0.000343,0.0,0.0008,-0.0008
-0.00034199999999999996,0.0,0.0008,-0.0008
-0.000341,0.0,0.0016,-0.0016
-0.00034,0.04,0.0008,0.0392
-0.000339,0.0,0.0,0.0
-0.000338,0.04,0.0008,0.0392
-0.000337,0.04,0.0008,0.0392
-0.000336,0.0,0.0008,-0.0008
-0.000335,0.0,0.0008,-0.0008
-0.000334,0.0,0.0008,-0.0008
-0.00033299999999999996,0.0,0.0008,-0.0008
-0.000332,0.0,0.0008,-0.0008
-0.000331,0.0,0.0,0.0
-0.00033,0.0,0.0008,-0.0008
-0.000329,0.0,0.0008,-0.0008
-0.000328,0.0,0.0008,-0.0008
-0.000327,0.0,0.0008,-0.0008
-0.000326,0.0,0.0008,-0.0008
-0.000325,0.0,0.0008,-0.0008
-0.000324,0.0,0.0008,-0.0008
-0.000323,0.0,0.0008,-0.0008
-0.000322,0.0,0.0008,-0.0008
-0.000321,0.0,0.0008,-0.0008
-0.00031999999999999997,0.0,0.0008,-0.0008
-0.000319,0.0,0.0008,-0.0008
-0.000318,0.0,0.0008,-0.0008
-0.000317,0.0,0.0008,-0.0008
-0.000316,0.0,0.0008,-0.0008
-0.000315,0.0,0.0,0.0
-0.000314,0.0,0.0,0.0
-0.000313,0.0,0.0008,-0.0008
-0.000312,0.0,0.0008,-0.0008
-0.00031099999999999997,0.0,0.0,0.0
-0.00031,0.0,0.0008,-0.0008
-0.000309,0.0,0.0008,-0.0008
-0.000308,0.0,0.0008,-0.0008
-0.000307,0.0,0.0,0.0
-0.000306,0.0,0.0008,-0.0008
-0.000305,0.0,0.0008,-0.0008
-0.000304,0.0,0.0008,-0.0008
-0.000303,0.0,0.0,0.0
-0.00030199999999999997,0.0,0.0008,-0.0008
-0.000301,0.0,0.0008,-0.0008
-0.00030000000000000003,0.0,0.0008,-0.0008
-0.000299,0.0,0.0008,-0.0008
-0.000298,0.0,0.0016,-0.0016
-0.000297,0.0,0.0008,-0.0008
-0.000296,0.0,0.0008,-0.0008
-0.000295,0.0,0.0008,-0.0008
-0.000294,0.0,0.0008,-0.0008
-0.00029299999999999997,0.0,0.0008,-0.0008
-0.000292,0.0,0.0008,-0.0008
-0.000291,0.0,0.0008,-0.0008
-0.00029,0.0,0.0008,-0.0008
-0.000289,0.0,0.0008,-0.0008
-0.000288,0.0,0.0008,-0.0008
-0.00028700000000000004,0.0,0.0008,-0.0008
-0.000286,0.0,0.0008,-0.0008
-0.000285,0.0,0.0008,-0.0008
-0.00028399999999999996,0.0,0.0,0.0
-0.000283,0.0,0.0008,-0.0008
-0.000282,0.0,0.0008,-0.0008
-0.000281,0.0,0.0008,-0.0008
-0.00028,0.0,0.0008,-0.0008
-0.000279,0.0,0.0008,-0.0008
-0.00027800000000000004,0.0,0.0008,-0.0008
-0.000277,0.0,0.0,0.0
-0.000276,0.0,0.0008,-0.0008
-0.00027499999999999996,0.0,0.0008,-0.0008
-0.000274,0.0,0.0008,-0.0008
-0.000273,0.0,0.0008,-0.0008
-0.000272,0.0,0.0008,-0.0008
-0.000271,0.0,0.0008,-0.0008
-0.00027,0.0,0.0008,-0.0008
-0.00026900000000000003,0.0,0.0008,-0.0008
-0.000268,0.0,0.0008,-0.0008
-0.000267,0.0,0.0,0.0
-0.00026599999999999996,0.0,0.0008,-0.0008
-0.000265,0.0,0.0,0.0
-0.000264,0.0,0.0008,-0.0008
-0.000263,0.0,0.0008,-0.0008
