Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00044,0.0,0.0,0.0
-0.000438,-0.08,-0.002,-0.078
-0.000436,0.0,0.002,-0.002
-0.00043400000000000003,0.0,0.0,0.0
-0.00043200000000000004,0.0,0.002,-0.002
-0.00043000000000000004,0.0,0.0,0.0
-0.000428,0.0,0.0,0.0
-0.000426,0.0,0.0,0.0
-0.000424,0.0,0.0,0.0
-0.000422,0.0,0.0,0.0
-0.00042,0.0,0.0,0.0
-0.000418,0.0,0.0,0.0
-0.00041600000000000003,0.0,-0.002,0.002
-0.00041400000000000003,0.0,0.0,0.0
-0.00041200000000000004,0.0,0.002,-0.002
-0.00041,0.0,0.0,0.0
-0.000408,0.0,0.002,-0.002
-0.000406,0.0,0.0,0.0
-0.000404,0.0,0.0,0.0
-0.000402,0.0,0.002,-0.002
-0.0004,0.0,0.0,0.0
-0.000398,0.0,0.0,0.0
-0.00039600000000000003,0.0,0.0,0.0
-0.00039400000000000004,0.0,0.0,0.0
-0.000392,0.0,-0.002,0.002
-0.00039000000000000005,0.0,0.0,0.0
-0.000388,0.0,0.0,0.0
-0.000386,0.0,0.0,0.0
-0.000384,0.0,0.0,0.0
-0.000382,0.0,-0.002,0.002
-0.00038,0.0,0.0,0.0
-0.000378,0.0,0.004,-0.004
-0.00037600000000000003,0.0,0.0,0.0
-0.00037400000000000004,0.0,0.0,0.0
-0.00037200000000000004,0.0,0.002,-0.002
-0.00037,0.0,0.0,0.0
-0.000368,0.0,0.0,0.0
-0.000366,0.0,0.002,-0.002
-0.000364,0.0,0.0,0.0
-0.000362,0.0,-0.002,0.002
-0.00036,0.0,0.0,0.0
-0.00035800000000000003,0.0,0.0,0.0
-0.00035600000000000003,0.0,0.0,0.0
-0.00035400000000000004,0.0,0.0,0.0
-0.000352,0.0,-0.002,0.002
-0.00035000000000000005,0.0,0.0,0.0
-0.000348,0.0,0.002,-0.002
-0.000346,0.0,0.0,0.0
-0.000344,0.0,0.0,0.0
-0.000342,0.0,0.002,-0.002
-0.00034,0.0,0.0,0.0
-0.00033800000000000003,0.0,0.0,0.0
-0.00033600000000000004,0.0,0.0,0.0
-0.000334,0.0,0.0,0.0
-0.00033200000000000005,0.0,0.002,-0.002
-0.00033,0.0,-0.002,0.002
-0.000328,0.0,0.002,-0.002
-0.000326,0.0,0.0,0.0
-0.000324,0.0,0.002,-0.002
-0.000322,0.0,0.002,-0.002
-0.00032,0.0,0.0,0.0
-0.00031800000000000003,0.0,0.0,0.0
-0.000316,0.0,0.0,0.0
-0.00031400000000000004,0.0,0.0,0.0
-0.000312,0.0,0.0,0.0
-0.00031000000000000005,0.0,0.0,0.0
-0.000308,0.0,0.0,0.0
-0.000306,0.0,0.0,0.0
-0.000304,0.0,0.0,0.0
-0.000302,0.0,-0.002,0.002
-0.00030000000000000003,0.0,0.002,-0.002
-0.00029800000000000003,0.0,-0.002,0.002
-0.00029600000000000004,0.0,0.0,0.0
-0.000294,0.0,0.002,-0.002
-0.00029200000000000005,0.0,-0.002,0.002
-0.00029,0.0,0.004,-0.004
-0.00028800000000000006,0.0,0.0,0.0
-0.000286,0.0,0.0,0.0
-0.000284,0.0,0.0,0.0
-0.000282,0.0,0.002,-0.002
-0.00028000000000000003,0.0,0.0,0.0
-0.00027800000000000004,0.0,0.0,0.0
-0.000276,0.0,0.0,0.0
-0.00027400000000000005,0.0,0.0,0.0
-0.000272,0.0,-0.002,0.002
-0.00027000000000000006,0.0,-0.002,0.002
-0.000268,0.0,0.0,0.0
-0.000266,0.0,0.0,0.0
-0.000264,0.0,0.0,0.0
-0.000262,0.0,0.0,0.0
-0.00026000000000000003,0.0,0.0,0.0
-0.00025800000000000004,0.0,-0.002,0.002
-0.00025600000000000004,0.0,0.002,-0.002
-0.000254,0.0,0.0,0.0
-0.00025200000000000005,0.0,0.0,0.0
-0.00025,0.0,0.002,-0.002
-0.000248,0.0,0.0,0.0
-0.000246,0.0,0.0,0.0
-0.00024400000000000002,0.0,0.0,0.0
-0.00024200000000000003,0.0,0.0,0.0
-0.00024000000000000003,0.0,0.002,-0.002
-0.000238,0.0,0.002,-0.002
-0.00023600000000000002,0.0,-0.002,0.002
-0.00023400000000000002,0.0,0.0,0.0
-0.00023200000000000003,0.0,-0.002,0.002
-0.00023000000000000003,0.0,0.002,-0.002
-0.000228,0.0,0.0,0.0
-0.00022600000000000002,0.0,0.002,-0.002
-0.00022400000000000002,0.0,0.0,0.0
-0.00022200000000000003,0.0,0.0,0.0
-0.00022000000000000003,0.0,0.0,0.0
-0.000218,0.0,0.002,-0.002
-0.00021600000000000002,0.0,0.0,0.0
-0.00021400000000000002,0.0,-0.002,0.002
-0.00021200000000000003,0.0,0.0,0.0
-0.00021000000000000004,0.0,0.002,-0.002
-0.00020800000000000001,0.0,0.0,0.0
-0.00020600000000000002,0.0,0.0,0.0
-0.00020400000000000003,0.0,0.0,0.0
-0.00020200000000000003,0.0,0.002,-0.002
-0.00020000000000000004,0.0,0.0,0.0
-0.00019800000000000002,0.0,0.0,0.0
-0.00019600000000000002,0.0,0.002,-0.002
-0.00019400000000000005,0.0,-0.002,0.002
-0.000192,0.0,0.0,0.0
-0.00019,0.0,0.0,0.0
-0.00018800000000000002,0.0,0.002,-0.002
-0.00018600000000000002,0.0,0.002,-0.002
-0.00018400000000000003,0.0,-0.002,0.002
-0.00018200000000000003,0.0,0.0,0.0
-0.00018000000000000004,0.0,-0.002,0.002
-0.00017800000000000004,0.0,0.0,0.0
-0.00017600000000000005,0.0,-0.002,0.002
-0.000174,0.0,0.002,-0.002
-0.000172,0.0,-0.002,0.002
-0.00017,0.0,0.0,0.0
-0.00016800000000000002,0.0,0.0,0.0
-0.00016600000000000002,0.0,0.0,0.0
-0.00016400000000000003,0.0,0.0,0.0
-0.00016200000000000003,0.0,0.0,0.0
-0.00016000000000000004,0.0,0.0,0.0
-0.00015800000000000005,0.0,0.0,0.0
-0.00015600000000000005,0.0,0.002,-0.002
-0.000154,0.0,-0.002,0.002
-0.000152,0.0,0.002,-0.002
-0.00015000000000000001,0.0,0.0,0.0
