Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00022,0.0,0.0,0.0
-0.000218,0.0,0.0,0.0
-0.00021600000000000002,0.0,0.0,0.0
-0.000214,0.0,0.0,0.0
-0.000212,0.0,0.0,0.0
-0.00021,-0.04,0.0,-0.04
-0.00020800000000000001,0.0,0.0,0.0
-0.00020600000000000002,0.0,0.0,0.0
-0.000204,-0.04,0.0,-0.04
-0.000202,0.0,0.0,0.0
-0.0002,0.0,0.0,0.0
-0.00019800000000000002,0.0,0.0,0.0
-0.000196,0.0,0.0,0.0
-0.000194,0.0,0.0,0.0
-0.000192,0.0,0.0,0.0
-0.00019,0.0,0.0,0.0
-0.00018800000000000002,0.0,0.0,0.0
-0.00018600000000000002,-0.04,0.0,-0.04
-0.000184,0.0,0.0,0.0
-0.000182,0.0,0.0,0.0
-0.00018,0.0,0.0,0.0
-0.00017800000000000002,0.0,0.0,0.0
-0.000176,0.0,0.0,0.0
-0.000174,0.0,0.0,0.0
-0.000172,0.0,0.0,0.0
-0.00017,0.0,0.0,0.0
-0.00016800000000000002,0.0,0.0,0.0
-0.00016600000000000002,0.0,0.0,0.0
-0.000164,0.0,0.0,0.0
-0.000162,0.0,0.0,0.0
-0.00016,0.0,0.0,0.0
-0.000158,0.0,0.0,0.0
-0.000156,0.0,0.0,0.0
-0.000154,0.0,0.0,0.0
-0.000152,0.0,0.0,0.0
-0.00015000000000000001,0.0,0.0,0.0
-0.00014800000000000002,0.0,0.0,0.0
-0.00014600000000000003,0.0,0.0,0.0
-0.00014400000000000003,0.0,0.0,0.0
-0.000142,0.0,0.0,0.0
-0.00014000000000000001,0.0,0.0,0.0
-0.000138,0.0,0.0,0.0
-0.000136,0.0,0.0,0.0
-0.000134,0.0,0.0,0.0
-0.000132,0.0,0.0,0.0
-0.00013000000000000002,0.0,0.0,0.0
-0.00012800000000000002,0.0,0.0,0.0
-0.00012600000000000003,0.0,0.0,0.0
-0.000124,0.0,0.0,0.0
-0.00012200000000000001,-0.04,0.0,-0.04
-0.00012000000000000002,0.0,0.0,0.0
-0.00011800000000000001,0.0,0.0,0.0
-0.00011600000000000001,0.0,0.0,0.0
-0.000114,0.0,0.0,0.0
-0.00011200000000000001,0.0,0.0,0.0
-0.00011000000000000002,0.0,0.0,0.0
-0.00010800000000000001,0.0,0.0,0.0
-0.00010600000000000002,0.0,0.0,0.0
-0.00010400000000000001,0.0,0.0,0.0
-0.00010200000000000001,0.0,0.0,0.0
-0.00010000000000000002,0.0,0.0,0.0
-9.800000000000001e-05,0.0,0.0,0.0
-9.6e-05,0.0,0.0,0.0
-9.400000000000001e-05,-0.04,0.0,-0.04
-9.200000000000001e-05,0.0,0.0,0.0
-9.000000000000002e-05,0.0,0.0,0.0
-8.800000000000002e-05,0.0,0.0,0.0
-8.6e-05,0.0,0.0,0.0
-8.400000000000001e-05,0.0,0.0,0.0
-8.200000000000001e-05,0.0,0.0,0.0
-8.000000000000002e-05,0.0,0.0,0.0
-7.800000000000003e-05,0.0,0.0,0.0
-7.6e-05,0.0,0.0,0.0
-7.400000000000001e-05,0.0,0.0,0.0
-7.200000000000002e-05,0.0,0.0,0.0
-7.000000000000002e-05,0.0,0.0,0.0
-6.800000000000003e-05,0.0,0.0,0.0
-6.6e-05,0.0,0.0,0.0
-6.400000000000001e-05,0.0,0.0,0.0
-6.200000000000002e-05,0.0,0.0,0.0
-6.000000000000002e-05,0.0,0.0,0.0
-5.800000000000003e-05,0.0,0.0,0.0
-5.6000000000000006e-05,0.0,0.0,0.0
-5.400000000000001e-05,0.0,0.0,0.0
-5.200000000000002e-05,0.0,0.0,0.0
-5.000000000000002e-05,0.0,0.0,0.0
-4.800000000000003e-05,0.0,0.0,0.0
-4.600000000000001e-05,0.0,0.0,0.0
-4.400000000000001e-05,0.0,0.0,0.0
-4.200000000000002e-05,0.0,0.0,0.0
-4.0000000000000024e-05,0.0,0.0,0.0
-3.800000000000003e-05,0.0,0.0,0.0
-3.600000000000001e-05,0.0,0.0,0.0
-3.400000000000001e-05,-0.04,0.0,-0.04
-3.200000000000002e-05,-0.04,0.0,-0.04
-3.0000000000000024e-05,-2.68,-0.024,-2.656
-2.8000000000000003e-05,-4.0,-0.02,-3.98
-2.600000000000001e-05,-4.0,-0.036000000000000004,-3.964
-2.4000000000000014e-05,-3.96,-0.056,-3.904
-2.200000000000002e-05,-3.92,-0.064,-3.856
