Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00023,0.0,0.0,0.0
-0.000229,0.0,0.0,0.0
-0.000228,-0.08,0.0,-0.08
-0.00022700000000000002,0.0,0.0,0.0
-0.00022600000000000002,0.0,0.0,0.0
-0.000225,0.0,0.0,0.0
-0.000224,0.0,0.0,0.0
-0.000223,0.0,0.0,0.0
-0.000222,0.0,0.0,0.0
-0.000221,0.0,0.0,0.0
-0.00022,0.0,0.0,0.0
-0.000219,-0.08,0.02,-0.1
-0.000218,0.0,0.0,0.0
-0.00021700000000000002,0.0,0.0,0.0
-0.00021600000000000002,-0.08,-0.02,-0.06
-0.00021500000000000002,0.0,0.0,0.0
-0.000214,0.0,0.0,0.0
-0.000213,0.0,0.0,0.0
-0.000212,0.0,0.0,0.0
-0.000211,0.0,0.0,0.0
-0.00021,0.0,0.0,0.0
-0.000209,0.0,-0.02,0.02
-0.00020800000000000001,0.0,0.0,0.0
-0.00020700000000000002,0.0,0.0,0.0
-0.00020600000000000002,-0.08,0.0,-0.08
-0.000205,0.0,0.02,-0.02
-0.000204,-0.08,-0.02,-0.06
-0.000203,0.0,0.0,0.0
-0.000202,-0.08,0.0,-0.08
-0.000201,-0.08,0.0,-0.08
-0.0002,0.0,0.0,0.0
-0.000199,-0.08,0.02,-0.1
-0.00019800000000000002,0.0,0.0,0.0
-0.00019700000000000002,0.0,0.0,0.0
-0.000196,0.0,0.0,0.0
-0.00019500000000000002,0.0,0.0,0.0
-0.000194,-0.08,0.0,-0.08
-0.000193,0.0,0.0,0.0
-0.000192,-0.08,0.0,-0.08
-0.000191,-0.08,0.0,-0.08
-0.00019,0.0,0.0,0.0
-0.000189,0.0,0.0,0.0
-0.00018800000000000002,0.0,0.0,0.0
-0.00018700000000000002,0.0,0.0,0.0
-0.00018600000000000002,0.0,0.0,0.0
-0.000185,-0.08,0.0,-0.08
-0.000184,0.0,0.0,0.0
-0.000183,0.0,0.0,0.0
-0.000182,-0.08,0.0,-0.08
-0.000181,0.0,0.0,0.0
-0.00018,0.0,0.0,0.0
-0.00017900000000000001,-0.08,0.0,-0.08
-0.00017800000000000002,0.0,0.0,0.0
-0.00017700000000000002,0.0,0.0,0.0
-0.000176,0.0,0.0,0.0
-0.00017500000000000003,0.0,0.0,0.0
-0.000174,-0.08,0.0,-0.08
-0.000173,0.0,0.0,0.0
-0.000172,-0.08,0.0,-0.08
-0.000171,0.0,0.0,0.0
-0.00017,0.0,0.0,0.0
-0.00016900000000000002,-0.08,0.0,-0.08
-0.00016800000000000002,0.0,0.0,0.0
-0.000167,-0.08,0.0,-0.08
-0.00016600000000000002,0.0,0.0,0.0
-0.000165,-0.08,0.02,-0.1
-0.00016400000000000003,0.0,-0.02,0.02
-0.000163,-0.08,0.0,-0.08
-0.000162,0.0,0.0,0.0
-0.000161,0.0,0.0,0.0
-0.00016,0.0,0.0,0.0
-0.00015900000000000002,-0.08,0.0,-0.08
-0.000158,0.0,0.0,0.0
-0.00015700000000000002,0.0,0.0,0.0
-0.000156,0.08,0.0,0.08
-0.00015500000000000003,0.0,-0.02,0.02
-0.000154,0.0,0.0,0.0
-0.000153,-0.08,-0.02,-0.06
-0.000152,0.0,0.0,0.0
-0.000151,0.0,0.0,0.0
-0.00015000000000000001,0.0,0.0,0.0
-0.00014900000000000002,0.0,0.0,0.0
-0.00014800000000000002,0.0,0.02,-0.02
-0.000147,0.0,0.02,-0.02
-0.00014600000000000003,0.0,0.0,0.0
-0.000145,-0.08,0.0,-0.08
-0.00014400000000000003,-0.08,0.0,-0.08
-0.000143,0.0,0.0,0.0
-0.000142,0.0,0.0,0.0
-0.000141,0.0,0.0,0.0
-0.00014000000000000001,-0.08,0.02,-0.1
-0.00013900000000000002,0.0,0.0,0.0
-0.000138,0.0,0.0,0.0
-0.00013700000000000002,0.0,0.0,0.0
-0.000136,0.0,0.0,0.0
-0.00013500000000000003,0.0,0.0,0.0
-0.000134,-0.08,0.0,-0.08
-0.000133,0.0,0.0,0.0
-0.000132,0.0,0.0,0.0
-0.000131,-0.08,0.0,-0.08
-0.00013000000000000002,-0.08,0.0,-0.08
-0.000129,0.0,0.0,0.0
-0.00012800000000000002,0.0,0.0,0.0
-0.000127,0.0,0.0,0.0
-0.00012600000000000003,0.0,0.0,0.0
-0.000125,0.0,0.0,0.0
-0.000124,-0.08,0.02,-0.1
-0.000123,0.0,0.0,0.0
-0.00012200000000000001,-0.08,0.0,-0.08
-0.00012100000000000001,-0.08,0.0,-0.08
-0.00012000000000000002,0.0,0.0,0.0
-0.000119,0.0,0.0,0.0
-0.00011800000000000001,0.0,0.0,0.0
-0.00011700000000000001,0.0,-0.02,0.02
-0.00011600000000000001,0.0,0.0,0.0
-0.00011500000000000002,0.0,0.0,0.0
-0.000114,-0.08,0.0,-0.08
-0.00011300000000000001,0.0,-0.02,0.02
-0.00011200000000000001,0.0,0.0,0.0
-0.00011100000000000001,-0.08,0.0,-0.08
-0.00011000000000000002,-0.08,0.0,-0.08
-0.000109,0.0,0.0,0.0
-0.00010800000000000001,-0.08,0.02,-0.1
-0.00010700000000000003,-0.08,0.0,-0.08
-0.000106,-3.92,-0.32,-3.6
-0.000105,-3.92,-0.06,-3.86
-0.00010400000000000001,-3.92,-0.12,-3.8
-0.00010300000000000001,-3.92,-0.1,-3.82
-0.00010200000000000001,-4.0,-0.16,-3.84
-0.00010100000000000002,-4.0,-0.2,-3.8
-0.00010000000000000002,-3.92,-0.22,-3.6999999999999997
-9.900000000000002e-05,-3.92,-0.26,-3.66
-9.800000000000002e-05,-3.84,-0.28,-3.5599999999999996
-9.7e-05,-3.92,-0.32,-3.6
-9.6e-05,-3.84,-0.36,-3.48
-9.5e-05,-3.84,-0.4,-3.44
-9.400000000000001e-05,-3.84,-0.42,-3.42
-9.300000000000001e-05,-3.84,-0.46,-3.38
-9.200000000000001e-05,-3.84,-0.48,-3.36
-9.100000000000002e-05,-3.68,-0.54,-3.14
-9.000000000000002e-05,-3.7600000000000002,-0.56,-3.2
-8.900000000000002e-05,-3.7600000000000002,-0.6,-3.16
-8.800000000000002e-05,-3.68,-0.6,-3.08
-8.7e-05,-3.68,-0.64,-3.04
-8.6e-05,-3.6,-0.66,-2.94
-8.5e-05,-3.6,-0.7000000000000001,-2.9
-8.400000000000001e-05,-3.52,-0.74,-2.7800000000000002
-8.300000000000001e-05,-3.52,-0.76,-2.76
-8.200000000000001e-05,-3.44,-0.78,-2.66
-8.100000000000002e-05,-3.44,-0.8,-2.6399999999999997
-8.000000000000002e-05,-3.36,-0.84,-2.52
-7.900000000000002e-05,-3.36,-0.86,-2.5
-7.800000000000003e-05,-3.2800000000000002,-0.88,-2.4000000000000004
-7.7e-05,-3.2,-0.92,-2.2800000000000002
-7.6e-05,-3.2,-0.92,-2.2800000000000002
-7.500000000000001e-05,-3.2,-0.9400000000000001,-2.2600000000000002
-7.400000000000001e-05,-3.12,-0.96,-2.16
-7.300000000000001e-05,-3.12,-0.98,-2.14
-7.200000000000002e-05,-3.04,-0.98,-2.06
-7.100000000000002e-05,-2.96,-1.02,-1.94
-7.000000000000002e-05,-2.88,-1.04,-1.8399999999999999
-6.900000000000002e-05,-2.88,-1.06,-1.8199999999999998
-6.800000000000003e-05,-2.88,-1.06,-1.8199999999999998
-6.7e-05,-2.72,-1.08,-1.6400000000000001
-6.6e-05,-2.72,-1.1,-1.62
-6.500000000000001e-05,-2.64,-1.12,-1.52
-6.400000000000001e-05,-2.64,-1.12,-1.52
-6.300000000000001e-05,-2.56,-1.16,-1.4000000000000001
-6.200000000000002e-05,-2.48,-1.16,-1.32
-6.100000000000002e-05,-2.4,-1.18,-1.22
-6.000000000000002e-05,-2.4,-1.18,-1.22
-5.9000000000000025e-05,-2.4,-1.18,-1.22
-5.800000000000003e-05,-2.32,-1.2,-1.1199999999999999
-5.7e-05,-2.24,-1.2,-1.0400000000000003
-5.6000000000000006e-05,-2.24,-1.22,-1.0200000000000002
-5.500000000000001e-05,-2.16,-1.22,-0.9400000000000002
-5.400000000000001e-05,-2.08,-1.24,-0.8400000000000001
-5.3000000000000014e-05,-2.0,-1.24,-0.76
-5.200000000000002e-05,-2.0,-1.24,-0.76
-5.100000000000002e-05,-1.84,-1.24,-0.6000000000000001
-5.000000000000002e-05,-1.76,-1.26,-0.5
-4.9000000000000026e-05,-1.76,-1.26,-0.5
-4.800000000000003e-05,-1.76,-1.26,-0.5
-4.7000000000000004e-05,-1.68,-1.26,-0.41999999999999993
-4.600000000000001e-05,-1.6,-1.26,-0.3400000000000001
-4.500000000000001e-05,-1.6,-1.26,-0.3400000000000001
-4.400000000000001e-05,-1.44,-1.26,-0.17999999999999994
-4.3000000000000015e-05,-1.44,-1.26,-0.17999999999999994
-4.200000000000002e-05,-1.36,-1.26,-0.10000000000000009
-4.100000000000002e-05,-1.28,-1.26,-0.020000000000000018
-4.0000000000000024e-05,-1.28,-1.28,0.0
-3.9000000000000026e-05,-1.2,-1.26,0.06000000000000005
-3.8e-05,-1.12,-1.26,0.1399999999999999
-3.7000000000000005e-05,-1.04,-1.26,0.21999999999999997
-3.600000000000001e-05,-1.04,-1.24,0.19999999999999996
-3.500000000000001e-05,-0.96,-1.26,0.30000000000000004
-3.400000000000001e-05,-0.88,-1.24,0.36
-3.3000000000000016e-05,-0.88,-1.24,0.36
-3.200000000000002e-05,-0.8,-1.24,0.43999999999999995
-3.100000000000002e-05,-0.72,-1.22,0.5
-3.0000000000000024e-05,-0.72,-1.22,0.5
-2.9000000000000027e-05,-0.64,-1.22,0.58
-2.8000000000000003e-05,-0.56,-1.22,0.6599999999999999
-2.7000000000000006e-05,-0.56,-1.2,0.6399999999999999
-2.600000000000001e-05,-0.48,-1.18,0.7
-2.500000000000001e-05,-0.4,-1.2,0.7999999999999999
-2.4000000000000014e-05,-0.32,-1.18,0.8599999999999999
-2.3000000000000017e-05,-0.32,-1.16,0.8399999999999999
-2.200000000000002e-05,-0.32,-1.16,0.8399999999999999
-2.1000000000000023e-05,-0.24,-1.1400000000000001,0.9000000000000001
-2.0000000000000025e-05,-0.16,-1.1400000000000001,0.9800000000000001
-1.9000000000000028e-05,-0.08,-1.1400000000000001,1.06
-1.8000000000000004e-05,-0.08,-1.12,1.04
-1.7000000000000007e-05,0.0,-1.1,1.1
-1.600000000000001e-05,0.08,-1.1,1.1800000000000002
-1.5000000000000012e-05,0.08,-1.06,1.1400000000000001
-1.4000000000000015e-05,0.16,-1.06,1.22
-1.3000000000000018e-05,0.16,-1.06,1.22
-1.200000000000002e-05,0.24,-1.04,1.28
-1.1000000000000023e-05,0.32,-1.02,1.34
-1.0000000000000026e-05,0.32,-1.0,1.32
-9.000000000000029e-06,0.4,-1.0,1.4
-8.000000000000005e-06,0.4,-1.0,1.4
-7.0000000000000075e-06,0.4,-0.96,1.3599999999999999
-6.00000000000001e-06,0.48,-0.96,1.44
-5.000000000000013e-06,0.56,-0.9400000000000001,1.5
-4.000000000000016e-06,0.56,-0.9400000000000001,1.5
-3.0000000000000187e-06,0.64,-0.9,1.54
-2.0000000000000215e-06,0.64,-0.88,1.52
-1.0000000000000243e-06,0.72,-0.86,1.58
-2.710505431213761e-20,0.72,-0.86,1.58
9.9999999999997e-07,0.72,-0.86,1.58
1.9999999999999944e-06,0.8,-0.8200000000000001,1.62
2.9999999999999916e-06,0.88,-0.8200000000000001,1.7000000000000002
3.999999999999989e-06,0.88,-0.8,1.6800000000000002
4.999999999999986e-06,0.88,-0.78,1.6600000000000001
5.999999999999983e-06,0.96,-0.76,1.72
6.99999999999998e-06,0.96,-0.74,1.7
7.999999999999978e-06,1.04,-0.74,1.78
8.999999999999975e-06,1.04,-0.7000000000000001,1.7400000000000002
9.999999999999972e-06,1.04,-0.7000000000000001,1.7400000000000002
1.099999999999997e-05,1.12,-0.66,1.7800000000000002
1.1999999999999994e-05,1.12,-0.66,1.7800000000000002
1.299999999999999e-05,1.2,-0.64,1.8399999999999999
1.3999999999999988e-05,1.2,-0.62,1.8199999999999998
1.4999999999999985e-05,1.2,-0.6,1.7999999999999998
1.5999999999999955e-05,1.2,-0.58,1.7799999999999998
1.699999999999998e-05,1.2,-0.56,1.76
1.8000000000000004e-05,1.28,-0.54,1.82
1.8999999999999974e-05,1.28,-0.52,1.8
1.9999999999999998e-05,1.28,-0.5,1.78
2.099999999999997e-05,1.36,-0.5,1.86
2.1999999999999993e-05,1.36,-0.48,1.84
2.2999999999999963e-05,1.44,-0.46,1.9
2.3999999999999987e-05,1.44,-0.44,1.88
2.4999999999999957e-05,1.44,-0.42,1.8599999999999999
2.599999999999998e-05,1.44,-0.4,1.8399999999999999
2.7000000000000006e-05,1.44,-0.38,1.8199999999999998
2.7999999999999976e-05,1.44,-0.36,1.7999999999999998
2.9e-05,1.44,-0.32,1.76
2.999999999999997e-05,1.52,-0.34,1.86
3.0999999999999995e-05,1.44,-0.32,1.76
3.1999999999999965e-05,1.52,-0.28,1.8
3.299999999999999e-05,1.52,-0.26,1.78
3.399999999999996e-05,1.52,-0.26,1.78
3.499999999999998e-05,1.52,-0.22,1.74
3.600000000000001e-05,1.52,-0.22,1.74
3.699999999999998e-05,1.6,-0.2,1.8
3.8e-05,1.52,-0.18,1.7
3.899999999999997e-05,1.6,-0.16,1.76
3.9999999999999996e-05,1.52,-0.14,1.6600000000000001
4.0999999999999967e-05,1.6,-0.12,1.7200000000000002
4.199999999999999e-05,1.6,-0.1,1.7000000000000002
4.299999999999996e-05,1.6,-0.08,1.6800000000000002
4.3999999999999985e-05,1.6,-0.06,1.6600000000000001
4.4999999999999955e-05,1.52,-0.06,1.58
4.599999999999998e-05,1.52,-0.04,1.56
4.7000000000000004e-05,1.52,-0.04,1.56
4.7999999999999974e-05,1.6,-0.02,1.62
4.9e-05,1.52,0.0,1.52
4.999999999999997e-05,1.52,0.02,1.5
5.099999999999999e-05,1.52,0.04,1.48
5.199999999999996e-05,1.6,0.04,1.56
5.299999999999999e-05,1.6,0.06,1.54
5.399999999999996e-05,1.6,0.06,1.54
5.499999999999998e-05,1.52,0.1,1.42
5.6000000000000006e-05,1.52,0.1,1.42
5.6999999999999976e-05,1.52,0.14,1.38
5.8e-05,1.6,0.12,1.48
5.899999999999997e-05,1.52,0.14,1.38
5.9999999999999995e-05,1.52,0.16,1.36
6.0999999999999965e-05,1.44,0.16,1.28
6.199999999999999e-05,1.52,0.2,1.32
6.299999999999996e-05,1.52,0.2,1.32
6.399999999999998e-05,1.52,0.22,1.3
6.499999999999995e-05,1.44,0.2,1.24
6.599999999999998e-05,1.44,0.24,1.2
6.7e-05,1.44,0.26,1.18
6.799999999999997e-05,1.44,0.26,1.18
6.9e-05,1.44,0.26,1.18
6.999999999999997e-05,1.36,0.3,1.06
7.099999999999999e-05,1.44,0.28,1.16
7.199999999999996e-05,1.28,0.3,0.98
7.299999999999999e-05,1.36,0.32,1.04
7.399999999999996e-05,1.36,0.32,1.04
7.499999999999998e-05,1.36,0.32,1.04
7.6e-05,1.36,0.34,1.02
7.699999999999997e-05,1.28,0.36,0.92
7.8e-05,1.28,0.36,0.92
7.899999999999997e-05,1.28,0.36,0.92
7.999999999999999e-05,1.28,0.38,0.9
8.099999999999996e-05,1.2,0.4,0.7999999999999999
8.199999999999999e-05,1.2,0.4,0.7999999999999999
8.299999999999996e-05,1.2,0.4,0.7999999999999999
8.399999999999998e-05,1.12,0.42,0.7000000000000002
8.499999999999995e-05,1.12,0.42,0.7000000000000002
8.599999999999998e-05,1.12,0.42,0.7000000000000002
8.7e-05,1.12,0.42,0.7000000000000002
8.799999999999997e-05,1.12,0.44,0.6800000000000002
8.9e-05,1.04,0.46,0.5800000000000001
8.999999999999997e-05,1.12,0.44,0.6800000000000002
9.099999999999999e-05,1.04,0.46,0.5800000000000001
9.199999999999996e-05,0.96,0.46,0.49999999999999994
9.299999999999998e-05,0.96,0.46,0.49999999999999994
9.399999999999995e-05,0.96,0.46,0.49999999999999994
9.499999999999998e-05,0.96,0.48,0.48
9.6e-05,0.88,0.48,0.4
9.699999999999997e-05,0.88,0.48,0.4
9.8e-05,0.88,0.48,0.4
9.899999999999997e-05,0.88,0.5,0.38
9.999999999999999e-05,0.8,0.5,0.30000000000000004
0.00010099999999999996,0.8,0.52,0.28
0.00010199999999999999,0.8,0.48,0.32000000000000006
0.00010299999999999996,0.72,0.5,0.21999999999999997
0.00010399999999999998,0.72,0.5,0.21999999999999997
0.000105,0.72,0.5,0.21999999999999997
0.00010599999999999997,0.72,0.5,0.21999999999999997
0.000107,0.64,0.5,0.14
0.00010799999999999997,0.72,0.52,0.19999999999999996
0.00010899999999999999,0.64,0.52,0.12
0.00010999999999999996,0.64,0.52,0.12
0.00011099999999999999,0.56,0.52,0.040000000000000036
0.00011199999999999996,0.48,0.52,-0.040000000000000036
0.00011299999999999998,0.48,0.52,-0.040000000000000036
0.00011399999999999995,0.48,0.52,-0.040000000000000036
0.00011499999999999998,0.48,0.52,-0.040000000000000036
0.000116,0.48,0.52,-0.040000000000000036
0.00011699999999999997,0.48,0.5,-0.020000000000000018
0.000118,0.4,0.5,-0.09999999999999998
0.00011899999999999997,0.32,0.52,-0.2
0.00011999999999999999,0.4,0.52,-0.12
0.00012099999999999996,0.32,0.52,-0.2
0.00012199999999999998,0.32,0.5,-0.18
0.00012299999999999995,0.32,0.52,-0.2
0.00012399999999999998,0.24,0.5,-0.26
0.000125,0.24,0.5,-0.26
0.00012599999999999997,0.24,0.5,-0.26
0.000127,0.16,0.5,-0.33999999999999997
0.00012799999999999997,0.16,0.5,-0.33999999999999997
0.000129,0.16,0.48,-0.31999999999999995
0.00012999999999999996,0.16,0.48,-0.31999999999999995
0.00013099999999999999,0.08,0.46,-0.38
0.00013199999999999996,0.08,0.48,-0.39999999999999997
0.00013299999999999998,0.08,0.48,-0.39999999999999997
